pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
31.75,-21.59,180.0,top,J98,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
31.75,-19.05,180.0,top,J99,,,CONNECTOR-PCB-HANDSOLDER-01X01-FEMALE,Conn_01x01,tht
21.717,-43.18,90.0,top,LED1,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-ORANGE,smt
-11.43,-33.02,90.0,top,LED10,,,KINGBRIGHT-APHB1608CGKSURKC,APHB1608CGKSURKC,smt
-11.43,-38.1,90.0,top,LED11,,,KINGBRIGHT-APHB1608CGKSURKC,APHB1608CGKSURKC,smt
21.717,-45.72,90.0,top,LED2,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-ORANGE,smt
18.542,-31.75,90.0,top,LED3,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-ORANGE,smt
18.542,-34.29,90.0,top,LED4,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-RED,smt
18.542,-36.83,90.0,top,LED5,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-ORANGE,smt
18.542,-39.37,90.0,top,LED6,,,KINGBRIGHT-LED-APHHS1005-0402,KINGBRIGHT-LED-0402-RED,smt
0.0,-0.0,0.0,top,MCU1,,,LQFP-144_20x20mm_P0.5mm,STM-STM32H755ZITx,smt
15.621,-30.226,0.0,top,Q1,,,SOT-23-3,DIODESINC-MMBT4401-7-F-SOT-23-3,smt
15.621,-33.782,0.0,top,Q2,,,SOT-23-3,DIODESINC-MMBT4401-7-F-SOT-23-3,smt
15.621,-37.338,0.0,top,Q3,,,SOT-23-3,DIODESINC-MMBT4401-7-F-SOT-23-3,smt
15.621,-40.894,0.0,top,Q4,,,SOT-23-3,DIODESINC-MMBT4401-7-F-SOT-23-3,smt
11.0236,10.7442,-90.0,top,R1,,,R_0402_1005Metric,22R,smt
19.558,-34.29,-90.0,top,R10,,,R_0402_1005Metric,?,smt
19.558,-36.83,-90.0,top,R11,,,R_0402_1005Metric,?,smt
19.558,-39.37,-90.0,top,R12,,,R_0402_1005Metric,?,smt
12.446,-31.75,180.0,top,R13,,,R_0402_1005Metric,47K,smt
12.446,-34.29,180.0,top,R14,,,R_0402_1005Metric,47K,smt
12.446,-36.322,180.0,top,R15,,,R_0402_1005Metric,47K,smt
12.446,-39.37,180.0,top,R16,,,R_0402_1005Metric,47K,smt
12.446,-30.734,0.0,top,R17,,,R_0402_1005Metric,10K,smt
12.446,-33.274,0.0,top,R18,,,R_0402_1005Metric,10K,smt
12.446,-35.306,0.0,top,R19,,,R_0402_1005Metric,10K,smt
14.605,5.8928,180.0,top,R2,,,R_0402_1005Metric,22R,smt
12.446,-38.354,0.0,top,R20,,,R_0402_1005Metric,10K,smt
-11.428,28.194,0.0,top,R21,,,R_0402_1005Metric,10K,smt
-20.955,17.02,-90.0,top,R22,,,R_0402_1005Metric,20K,smt
-20.955,19.56,-90.0,top,R23,,,R_0402_1005Metric,20K,smt
9.8806,11.5316,-90.0,top,R3,,,R_0402_1005Metric,22R,smt
-13.97,-33.02,180.0,top,R30,,,R_0402_1005Metric,?,smt
-13.97,-31.75,180.0,top,R31,,,R_0402_1005Metric,?,smt
-13.97,-38.1,180.0,top,R32,,,R_0402_1005Metric,?,smt
-13.97,-36.83,180.0,top,R33,,,R_0402_1005Metric,?,smt
-11.43,24.13,0.0,top,R4,,,R_0402_1005Metric,10K,smt
-11.43,26.67,180.0,top,R5,,,R_0402_1005Metric,10K,smt
-11.43,30.226,180.0,top,R6,,,R_0402_1005Metric,1K,smt
22.733,-43.18,-90.0,top,R7,,,R_0402_1005Metric,?,smt
22.733,-45.72,-90.0,top,R8,,,R_0402_1005Metric,?,smt
19.558,-31.75,-90.0,top,R9,,,R_0402_1005Metric,?,smt
-18.923,30.226,0.0,top,SW1,,,OMRON-B3U-1000PM,B3U1000PM,smt
-12.725,-58.42,0.0,top,U1,,,SOT-223-3_TabPin2,LD1117S50TR_SOT223,smt
7.305,-59.07,0.0,top,U3,,,SOT-363_SC-70-6,LM66100DCK,smt
12.253,-59.07,0.0,top,U4,,,SOT-363_SC-70-6,LM66100DCK,smt
19.812,-59.37,0.0,top,U5,,,SOT-23-5,AP2112K-3.3,smt
-17.526,-3.683,0.0,top,Y1,,,ABRACON-ABM10AIG,ABRACON-ABM10AIG-48.000MHZ-4Z-T3,smt
-16.3322,3.9878,-90.0,top,Y2,,,ABRACON-ABS07-LR,ABRACON-ABS07-LR-32.768KHZ-6-1-T,smt
